Reg-Nr.,Name,Bestand,Beschwerden,Typ,Jahr
1136,DEVK ALLG. LEBEN,661197,22,Leben,2008
1025,DEVK DT. EISENBAHN LV,804895,8,Leben,2008
1113,DIALOG LEBEN,234878,1,Leben,2008
1110,DIREKTE LEBEN,142227,2,Leben,2008
1180,DT. ÄRZTEVERSICHERUNG,206495,15,Leben,2008
1148,DT. LEBENSVERS.,289092,2,Leben,2008
1028,DT. RING LEBEN,970669,55,Leben,2008
1107,EUROPA LEBEN,439758,4,Leben,2008
1310,FAMILIENFüRSORGE LV,293773,10,Leben,2008
1175,FAMILIENSCHUTZ LEBEN,152821,12,Leben,2008
1162,FORTIS DEUTSCHLAND,44138,4,Leben,2008
1063,GENERALI LV (alt),1321140,72,Leben,2008
1108,GOTHAER LEBEN AG,1251939,79,Leben,2008
1184,HAMB. MANNHEIMER LV,6256298,211,Leben,2008
1312,HANNOVERSCHE LV AG,809384,69,Leben,2008
1114,HANSEMERKUR LEBEN,218942,10,Leben,2008
1192,HANSEMERKUR24 LV AG,1181,0,Leben,2008
1033,HDI-GERLING LEBEN,2130342,256,Leben,2008
1158,HEIDELBERGER LV,479198,30,Leben,2008
1137,HELVETIA LEBEN,124430,9,Leben,2008
1055,HUK-COBURG LEBEN,733486,40,Leben,2008
1047,IDEAL LEBEN,543364,14,Leben,2008
1048,IDUNA VEREINIGTE LV,2240089,85,Leben,2008
1097,INTER LEBEN,195442,9,Leben,2008
1119,INTERRISK LEBENSVERS.,85922,4,Leben,2008
1128,ITZEHOER LEBEN,62721,2,Leben,2008
1045,KARLSRUHER LV AG,128012,12,Leben,2008
1130,KARSTADTQUELLE LV AG,1296786,24,Leben,2008
1054,LANDESLEBENSHILFE,22933,1,Leben,2008
1062,LEBENSVERS. VON 1871,728583,41,Leben,2008
1112,LVM LEBEN,736510,15,Leben,2008
1109,MECKLENBURG. LEBEN,161196,2,Leben,2008
1064,MÜNCHEN. VEREIN LEBEN,143007,10,Leben,2008
1193,NECKERMANN LEBEN,65896,1,Leben,2008
1164,NEUE LEBEN LEBENSVERS,755773,14,Leben,2008
1131,NÜRNBERGER BEAMTEN LV,18740,0,Leben,2008
1147,NÜRNBG. LEBEN,3068798,238,Leben,2008
1056,OEFF. LEBEN BERLIN,167937,2,Leben,2008
1115,ONTOS LEBEN,43471,1,Leben,2008
1194,PB LEBENSVERSICHERUNG,377677,12,Leben,2008
1145,PBV LEBEN,982959,43,Leben,2008
1123,PLUS LEBEN,34075,1,Leben,2008
1309,PROTEKTOR LV AG,195781,32,Leben,2008
1081,PROV. LEBEN HANNOVER,834637,15,Leben,2008
1083,PROV.NORDWEST LEBEN,1818576,43,Leben,2008
1082,PROV.RHEINLAND LEBEN,1315007,20,Leben,2008
1085,"R+V LEBEN, VAG",96166,4,Leben,2008
1141,R+V LEBENSVERS. AG,4068561,83,Leben,2008
1018,RHEINLAND LEBEN,287382,6,Leben,2008
1090,SCHWEIZERISCHE LEBEN,1190986,71,Leben,2008
1157,SKANDIA LEBEN,376265,36,Leben,2008
1153,SPARK.-VERS.SACHS.LEB,409867,1,Leben,2008
1104,STUTTGARTER LEBEN,450526,43,Leben,2008
1091,SV SPARKASSENVERS.,1692978,39,Leben,2008
1092,UNIVERSA LEBEN,224784,12,Leben,2008
1093,VER.POSTVERS.,16,4,Leben,2008
1314,VHV LEBENSVERSICHER.,9974,1,Leben,2008
1140,VICTORIA LEBEN,2472974,187,Leben,2008
1139,VOLKSFÜRSORGE DT. LV,4093420,148,Leben,2008
1099,VOLKSWOHL-BUND LEBEN,1224660,29,Leben,2008
1151,VORSORGE LEBEN,85256,6,Leben,2008
1160,VPV LEBEN,1185887,55,Leben,2008
1005,WÜRTT. LEBEN,2893845,107,Leben,2008
1103,WWK LEBEN,982908,80,Leben,2008
1138,ZURICH DTSCH. HEROLD,3583740,245,Leben,2008
1096,ZÜRICH LEBEN,243231,2,Leben,2008
5342,AACHENMüNCHENER VERS.,1511227,35,Unfall,2008
5498,ADAC-SCHUTZBRIEF VERS,2723680,3,Unfall,2008
5312,ALLIANZ VERS.,5397478,99,Unfall,2008
5405,ALTE LEIPZIGER VERS.,88008,1,Unfall,2008
5068,AMMERLÄNDER VERS.,6042,1,Unfall,2008
5455,ARAG ALLG. VERS.,20493315,14,Unfall,2008
5397,ASSTEL SACH,30467,2,Unfall,2008
5515,AXA VERS.,805103,13,Unfall,2008
5316,BAD. GEMEINDE-VERS.,46257,2,Unfall,2008
5792,BADEN-BADENER VERS.,283246,11,Unfall,2008
5317,BARMENIA ALLG. VERS.,127161,5,Unfall,2008
5633,BASLER SECURITAS,148051,6,Unfall,2008
5310,BAYER. BEAMTEN VERS.,97466,5,Unfall,2008
5324,BAYER.VERS.VERB.AG,612268,5,Unfall,2008
5098,BRUDERHILFE SACH.AG,35779,1,Unfall,2008
5790,CIV VERS.,176840,11,Unfall,2008
5338,CONCORDIA VERS.,286040,5,Unfall,2008
5339,CONDOR ALLG. VERS.,78647,3,Unfall,2008
5340,CONTINENTALE SACHVERS,735537,9,Unfall,2008
5552,COSMOS VERS.,193811,2,Unfall,2008
5529,D.A.S. VERS.,264707,29,Unfall,2008
5343,DA DEUTSCHE ALLG.VER.,52301,1,Unfall,2008
5311,DBV DT. BEAMTEN-VERS.,205284,1,Unfall,2008
5037,DBV-WINTERTHUR,273575,7,Unfall,2008
5549,DEBEKA ALLGEMEINE,1716071,7,Unfall,2008
5513,DEVK ALLG. VERS.,698070,4,Unfall,2008
5344,DEVK DT. EISENB. SACH,271783,2,Unfall,2008
5350,DT. RING SACHVERS.,403082,24,Unfall,2008
5516,FAMILIENSCHUTZ VERS.,294459,10,Unfall,2008
5456,GENERALI VERS. AG(alt),1570951,24,Unfall,2008
5858,GOTHAER ALLG.VERS.AG,722585,26,Unfall,2008
5485,GRUNDEIGENTÜMER-VERS.,13073,1,Unfall,2008
5420,HAMB. MANNHEIMER SACH,2048515,87,Unfall,2008
5501,HANSEMERKUR ALLG.,82022,3,Unfall,2008
5085,HDI DIREKT,206899,2,Unfall,2008
5512,HDI-GERLING FIRMEN,488272,5,Unfall,2008
5375,HUK-COBURG,1050701,4,Unfall,2008
5573,IDEAL VERS.,15043,2,Unfall,2008
5546,INTER ALLG. VERS.,78253,5,Unfall,2008
5057,INTERLLOYD VERS.AG,54434,2,Unfall,2008
5780,INTERRISK VERS.,398447,5,Unfall,2008
5401,ITZEHOER VERSICHERUNG,109425,1,Unfall,2008
5562,KARSTADTQUELLE VERS.,330374,5,Unfall,2008
5402,LVM SACH,875521,8,Unfall,2008
5061,MANNHEIMER VERS.,76566,2,Unfall,2008
5412,MECKLENBURG. VERS.,140382,3,Unfall,2008
5414,MÜNCHEN. VEREIN ALLG.,41703,2,Unfall,2008
5591,NEUE LEBEN UNFALL,715408,1,Unfall,2008
5426,NÜRNBG. ALLG.,624361,51,Unfall,2008
5686,NÜRNBG. BEAMTEN ALLG.,107858,5,Unfall,2008
5015,NV-VERSICHERUNGEN,46093,1,Unfall,2008
5787,OVAG - OSTDT. VERS.,4542,1,Unfall,2008
5074,PB VERSICHERUNG,61774,1,Unfall,2008
5446,PROV.NORD BRANDKASSE,330550,5,Unfall,2008
5095,PROV.RHEINLAND VERS.,1256494,4,Unfall,2008
5583,PVAG POLIZEIVERS.,312506,1,Unfall,2008
5438,R+V ALLGEMEINE VERS.,1514753,17,Unfall,2008
5798,RHEINLAND VERS. AG,89082,4,Unfall,2008
5690,SCHWARZMEER U. OSTSEE,46254,1,Unfall,2008
5125,SIGNAL IDUNA ALLG.,1839735,30,Unfall,2008
5781,SPARK.-VERS.SACHS.ALL,61754,3,Unfall,2008
5586,STUTTGARTER VERS.,242274,10,Unfall,2008
5036,SV SPARK.VERSICHER.,313594,3,Unfall,2008
5459,UELZENER ALLG. VERS.,63893,1,Unfall,2008
5511,VER. VERS.GES.DTSCHL.,128042,5,Unfall,2008
5862,VHV ALLGEMEINE VERS.,287992,4,Unfall,2008
5472,VICTORIA VERS.,952760,49,Unfall,2008
5473,VOLKSFÜRSORGE DT.SACH,703698,15,Unfall,2008
5484,VOLKSWOHL-BUND SACH,176806,4,Unfall,2008
5461,VPV ALLGEMEINE VERS.,151364,2,Unfall,2008
5093,WESTF.PROV.VERS.AG,1058930,10,Unfall,2008
5783,WÜRTT. VERS.,780002,23,Unfall,2008
5590,WÜRZBURGER VERSICHER.,54548,7,Unfall,2008
5476,WWK ALLGEMEINE VERS.,202626,10,Unfall,2008
5050,ZURICH VERS. AG,2500077,24,Unfall,2008
4034,ALLIANZ PRIV.KV AG,2412527,306,Kranken,2009
4142,ALTE OLDENBURGER,138387,10,Kranken,2009
4112,ARAG KRANKEN,367650,24,Kranken,2009
4095,AXA KRANKEN,1401042,224,Kranken,2009
4042,BARMENIA KRANKEN,1209283,46,Kranken,2009
4134,BAYERISCHE BEAMTEN K,958850,125,Kranken,2009
4004,CENTRAL KRANKEN,1696520,102,Kranken,2009
4118,CONCORDIA KRANKEN,80533,2,Kranken,2009
4001,CONTINENTALE KRANKEN,1218713,91,Kranken,2009
4028,DEBEKA KRANKEN,3504796,88,Kranken,2009
4131,DEVK KRANKENVERS.-AG,191976,3,Kranken,2009
4044,DKV AG,3209839,213,Kranken,2009
4013,DT. RING KRANKEN,625391,38,Kranken,2009
4115,DﾜSSELDORFER VERS.KR.,16856,1,Kranken,2009
4121,ENVIVAS KRANKEN,210370,5,Kranken,2009
4089,EUROPA KRANKEN,213946,3,Kranken,2009
4053,FREIE ARZTKASSE,29843,1,Kranken,2009
4119,GOTHAER KV AG,501487,35,Kranken,2009
4043,HALLESCHE KRANKEN,572168,38,Kranken,2009
4144,HANSEMERKUR KRANKEN_V,1118967,37,Kranken,2009
4122,HANSEMERKUR S.KRANKEN,3570726,2,Kranken,2009
4117,HUK-COBURG KRANKEN,818632,36,Kranken,2009
4031,INTER KRANKEN,388347,41,Kranken,2009
4126,KARSTADTQUELLE KV AG,1219760,9,Kranken,2009
4011,LANDESKRANKENHILFE,415695,26,Kranken,2009
4051,LIGA KRANKEN,4112,1,Kranken,2009
4109,LVM KRANKEN,281550,8,Kranken,2009
4123,MANNHEIMER KRANKEN,77811,5,Kranken,2009
4141,MECKLENBURGISCHE KRA.,33738,1,Kranken,2009
4037,MﾜNCHEN.VEREIN KV,224661,18,Kranken,2009
4125,NﾜRNBG. KRANKEN,235638,7,Kranken,2009
4143,PAX-FAMILIENF.KV AG,150168,2,Kranken,2009
4135,PROVINZIAL KRANKEN,131118,1,Kranken,2009
4116,R+V KRANKEN,437977,8,Kranken,2009
4002,SIGNAL KRANKEN,1985474,77,Kranken,2009
4039,SﾜDDEUTSCHE KRANKEN,545834,14,Kranken,2009
4108,UNION KRANKENVERS.,1008585,25,Kranken,2009
4045,UNIVERSA KRANKEN,362837,30,Kranken,2009
4105,VICTORIA KRANKEN,1225938,53,Kranken,2009
4139,WﾜRTT. KRANKEN,140417,1,Kranken,2009
1001,AACHENMüNCHENER LEB.,5492088,150,Leben,2009
1006,ALLIANZ LEBEN,10303778,358,Leben,2009
1007,ALTE LEIPZIGER LEBEN,1004330,35,Leben,2009
1035,ARAG LEBEN,345773,30,Leben,2009
1181,ASPECTA LEBEN,697782,76,Leben,2009
1303,ASSTEL LEBEN,354169,51,Leben,2009
1020,AXA LEBEN,1928966,122,Leben,2009
1011,BARMENIA LEBEN,244917,27,Leben,2009
1012,BASLER LEBEN,172476,7,Leben,2009
1013,BAYER. BEAMTEN LEBEN,351066,11,Leben,2009
1015,BAYERN-VERS.,1711173,54,Leben,2009
1132,CIV LEBEN,1812681,37,Leben,2009
1122,CONCORDIA LEBEN,146156,7,Leben,2009
1021,CONDOR LEBEN,208068,11,Leben,2009
1078,CONTINENTALE LEBEN,650692,22,Leben,2009
1022,COSMOS LEBEN,1382533,36,Leben,2009
1146,DBV DEUTSCHE BEAMTEN,2141938,71,Leben,2009
1023,DEBEKA LEBEN,3276376,47,Leben,2009
1017,DELTA LLOYD LEBEN,586248,24,Leben,2009
1136,DEVK ALLG. LEBEN,681746,17,Leben,2009
1025,DEVK DT. EISENBAHN LV,773082,4,Leben,2009
1113,DIALOG LEBEN,243114,3,Leben,2009
1110,DIREKTE LEBEN,138758,6,Leben,2009
1180,DT. ÄRZTEVERSICHERUNG,199643,16,Leben,2009
1148,DT. LEBENSVERS.,288922,5,Leben,2009
1028,DT. RING LEBEN,948660,102,Leben,2009
1107,EUROPA LEBEN,446081,5,Leben,2009
1310,FAMILIENFüRSORGE LV,286171,9,Leben,2009
1175,FAMILIENSCHUTZ LEBEN,133852,6,Leben,2009
1139,GENERALI LEBEN AG,5309532,216,Leben,2009
1108,GOTHAER LEBEN AG,1230928,87,Leben,2009
1040,HAMB. LEBEN,25105,1,Leben,2009
1184,HAMB. MANNHEIMER LV,5943867,167,Leben,2009
1312,HANNOVERSCHE LV AG,823539,42,Leben,2009
1114,HANSEMERKUR LEBEN,218493,5,Leben,2009
1033,HDI-GERLING LEBEN,2089735,192,Leben,2009
1158,HEIDELBERGER LV,473106,42,Leben,2009
1137,HELVETIA LEBEN,128622,6,Leben,2009
1055,HUK-COBURG LEBEN,722999,35,Leben,2009
1047,IDEAL LEBEN,527331,14,Leben,2009
1048,IDUNA VEREINIGTE LV,2157642,112,Leben,2009
1330,INTER LEBENSVERS. AG,185033,12,Leben,2009
1119,INTERRISK LEBENSVERS.,88041,4,Leben,2009
1045,KARLSRUHER LV AG,121977,13,Leben,2009
1130,KARSTADTQUELLE LV AG,1303284,19,Leben,2009
1062,LEBENSVERS. VON 1871,718062,12,Leben,2009
1112,LVM LEBEN,757702,9,Leben,2009
1109,MECKLENBURG. LEBEN,162277,4,Leben,2009
1064,MÜNCHEN. VEREIN LEBEN,144400,5,Leben,2009
1134,NEUE BAYER. BEAMTEN,81897,1,Leben,2009
1164,NEUE LEBEN LEBENSVERS,787737,17,Leben,2009
1147,NÜRNBG. LEBEN,3078628,158,Leben,2009
1177,OECO CAPITAL LEBEN,22920,5,Leben,2009
1056,OEFF. LEBEN BERLIN,170184,7,Leben,2009
1115,ONTOS LEBEN,43221,2,Leben,2009
1194,PB LEBENSVERSICHERUNG,373242,26,Leben,2009
1145,PBV LEBEN,969478,60,Leben,2009
1123,PLUS LEBEN,32031,1,Leben,2009
1309,PROTEKTOR LV AG,180220,18,Leben,2009
1081,PROV. LEBEN HANNOVER,843887,13,Leben,2009
1083,PROV.NORDWEST LEBEN,1826262,35,Leben,2009
1082,PROV.RHEINLAND LEBEN,1327693,40,Leben,2009
1085,R+V LEBEN,81271,1,Leben,2009
1141,R+V LEBENSVERS. AG,4007747,87,Leben,2009
1018,RHEINLAND LEBEN,282768,7,Leben,2009
1157,SKANDIA LEBEN,375559,25,Leben,2009
1153,SPARK.-VERS.SACHS.LEB,427103,1,Leben,2009
1104,STUTTGARTER LEBEN,438160,29,Leben,2009
1091,SV SPARKASSENVERS.,1708588,34,Leben,2009
1090,SWISS LIFE AG   (CH),1053139,54,Leben,2009
1092,UNIVERSA LEBEN,216115,14,Leben,2009
1093,VER.POSTVERS.,22,1,Leben,2009
1314,VHV LEBENSVERSICHER.,11550,1,Leben,2009
1140,VICTORIA LEBEN,2367184,109,Leben,2009
1099,VOLKSWOHL-BUND LEBEN,1256874,30,Leben,2009
1151,VORSORGE LEBEN,115743,10,Leben,2009
1160,VPV LEBEN,1125342,17,Leben,2009
1005,WÜRTT. LEBEN,2786129,75,Leben,2009
1103,WWK LEBEN,969292,50,Leben,2009
1138,ZURICH DTSCH. HEROLD,3552786,177,Leben,2009
5342,AACHENMüNCHENER VERS.,1664716,23,Unfall,2009
5498,ADAC-SCHUTZBRIEF VERS,2942679,7,Unfall,2009
5581,ADLER VERSICHERUNG AG,222259,1,Unfall,2009
5312,ALLIANZ VERS.,5215343,100,Unfall,2009
5405,ALTE LEIPZIGER VERS.,85823,3,Unfall,2009
5068,AMMERLÄNDER VERS.,9344,1,Unfall,2009
5455,ARAG ALLG. VERS.,20529467,9,Unfall,2009
5397,ASSTEL SACH,32539,1,Unfall,2009
5515,AXA VERS.,697007,6,Unfall,2009
5316,BAD. GEMEINDE-VERS.,45420,2,Unfall,2009
5792,BADEN-BADENER VERS.,278260,7,Unfall,2009
5317,BARMENIA ALLG. VERS.,126456,3,Unfall,2009
5310,BAYER. BEAMTEN VERS.,94080,5,Unfall,2009
5324,BAYER.VERS.VERB.AG,619242,6,Unfall,2009
5790,CIV VERS.,185502,5,Unfall,2009
5338,CONCORDIA VERS.,284997,3,Unfall,2009
5339,CONDOR ALLG. VERS.,79490,1,Unfall,2009
5340,CONTINENTALE SACHVERS,720695,15,Unfall,2009
5552,COSMOS VERS.,194244,1,Unfall,2009
5529,D.A.S. VERS.,259060,26,Unfall,2009
5311,DBV DT. BEAMTEN-VERS.,200133,1,Unfall,2009
5037,DBV-WINTERTHUR,257486,4,Unfall,2009
5549,DEBEKA ALLGEMEINE,1744006,7,Unfall,2009
5513,DEVK ALLG. VERS.,738635,2,Unfall,2009
5344,DEVK DT. EISENB. SACH,267218,2,Unfall,2009
5129,DFV DEUTSCHE FAM.VERS,14856,2,Unfall,2009
5350,DT. RING SACHVERS.,386173,11,Unfall,2009
5508,EUROPA SACHVERS.,58059,1,Unfall,2009
5470,FAHRLEHRERVERS.,26892,1,Unfall,2009
5516,FAMILIENSCHUTZ VERS.,275966,8,Unfall,2009
5024,FEUERSOZIETÄT,48902,1,Unfall,2009
5473,GENERALI VERSICHERUNG,3307594,34,Unfall,2009
5858,GOTHAER ALLGEMEINE AG,709569,26,Unfall,2009
5585,GVV-PRIVATVERSICH.,17257,1,Unfall,2009
5420,HAMB. MANNHEIMER SACH,1917198,50,Unfall,2009
5501,HANSEMERKUR ALLG.,80748,4,Unfall,2009
5085,HDI DIREKT,194216,5,Unfall,2009
5512,HDI-GERLING FIRMEN,417121,10,Unfall,2009
5384,HELVETIA VERS.,131542,3,Unfall,2009
5375,HUK-COBURG,1030726,2,Unfall,2009
5521,HUK-COBURG ALLG. VERS,504014,1,Unfall,2009
5573,IDEAL VERS.,19002,4,Unfall,2009
5546,INTER ALLG. VERS.,135404,2,Unfall,2009
5057,INTERLLOYD VERS.AG,56085,2,Unfall,2009
5780,INTERRISK VERS.,399130,1,Unfall,2009
5078,JANITOS VERSICHERUNG,110756,2,Unfall,2009
5562,KARSTADTQUELLE VERS.,322130,10,Unfall,2009
5058,KRAVAG-ALLGEMEINE,121409,1,Unfall,2009
5399,KRAVAG-SACH,14830,1,Unfall,2009
5402,LVM SACH,882766,8,Unfall,2009
5412,MECKLENBURG. VERS.,140042,4,Unfall,2009
5334,MEDIENVERS. KARLSRUHE,746,1,Unfall,2009
5426,NÜRNBG. ALLG.,630464,34,Unfall,2009
5686,NÜRNBG. BEAMTEN ALLG.,104724,2,Unfall,2009
5791,ONTOS VERS.,3596,1,Unfall,2009
5074,PB VERSICHERUNG,52168,3,Unfall,2009
5095,PROV.RHEINLAND VERS.,1029074,39,Unfall,2009
5583,PVAG POLIZEIVERS.,309909,1,Unfall,2009
5438,R+V ALLGEMEINE VERS.,1482917,8,Unfall,2009
5798,RHEINLAND VERS. AG,86499,4,Unfall,2009
5690,SCHWARZMEER U. OSTSEE,6631,1,Unfall,2009
5125,SIGNAL IDUNA ALLG.,1802685,17,Unfall,2009
5586,STUTTGARTER VERS.,231309,10,Unfall,2009
5511,VER. VERS.GES.DTSCHL.,116679,2,Unfall,2009
5400,VGH LAND.BRAND.HAN.,5588170,1,Unfall,2009
5862,VHV ALLGEMEINE VERS.,294832,2,Unfall,2009
5472,VICTORIA VERS.,920772,39,Unfall,2009
5484,VOLKSWOHL-BUND SACH,179624,7,Unfall,2009
5093,WESTF.PROV.VERS.AG,1064329,4,Unfall,2009
5783,WÜRTT. VERS.,764459,30,Unfall,2009
5590,WÜRZBURGER VERSICHER.,56604,2,Unfall,2009
5476,WWK ALLGEMEINE VERS.,202356,8,Unfall,2009
5050,ZURICH VERS. AG,2468705,21,Unfall,2009
4034,ALLIANZ PRIV.KV AG,2425665,169,Kranken,2010
4142,ALTE OLDENBURGER,145233,3,Kranken,2010
4112,ARAG KRANKEN,420435,36,Kranken,2010
4095,AXA KRANKEN,1439605,164,Kranken,2010
4042,BARMENIA KRANKEN,1253021,73,Kranken,2010
4134,BAYERISCHE BEAMTEN K,1013701,102,Kranken,2010
4104,BERUFSFEUERWEHR HANN.,1336,1,Kranken,2010
4004,CENTRAL KRANKEN,1796836,133,Kranken,2010
4118,CONCORDIA KRANKEN,81270,1,Kranken,2010
4001,CONTINENTALE KRANKEN,1322022,75,Kranken,2010
4028,DEBEKA KRANKEN,3606427,82,Kranken,2010
4131,DEVK KRANKENVERS.-AG,209588,2,Kranken,2010
4044,DKV AG,3193688,248,Kranken,2010
4013,DT. RING KRANKEN,639106,54,Kranken,2010
4121,ENVIVAS KRANKEN,258650,1,Kranken,2010
4126,ERGO DIREKT KRANKEN,1262538,21,Kranken,2010
4053,FREIE ARZTKASSE,29928,7,Kranken,2010
4119,GOTHAER KV AG,521083,58,Kranken,2010
4043,HALLESCHE KRANKEN,603697,59,Kranken,2010
4144,HANSEMERKUR KRANKEN_V,1197241,39,Kranken,2010
4122,HANSEMERKUR S.KRANKEN,4123787,6,Kranken,2010
4117,HUK-COBURG KRANKEN,859182,42,Kranken,2010
4031,INTER KRANKEN,385340,34,Kranken,2010
4011,LANDESKRANKENHILFE,409988,22,Kranken,2010
4109,LVM KRANKEN,287095,5,Kranken,2010
4123,MANNHEIMER KRANKEN,78047,11,Kranken,2010
4037,MﾜNCHEN.VEREIN KV,234434,20,Kranken,2010
4125,NﾜRNBG. KRANKEN,230553,12,Kranken,2010
4080,OPEL AKTIV PLUS,100709,1,Kranken,2010
4143,PAX-FAMILIENF.KV AG,153170,2,Kranken,2010
4116,R+V KRANKEN,457517,8,Kranken,2010
4002,SIGNAL KRANKEN,1979235,109,Kranken,2010
4039,SﾜDDEUTSCHE KRANKEN,568179,19,Kranken,2010
4108,UNION KRANKENVERS.,1025239,26,Kranken,2010
4045,UNIVERSA KRANKEN,360836,32,Kranken,2010
4105,VICTORIA KRANKEN,1232486,30,Kranken,2010
4139,WﾜRTT. KRANKEN,153808,2,Kranken,2010
1001,AACHENMüNCHENER LEB.,5491895,108,Leben,2010
1006,ALLIANZ LEBEN,10244339,230,Leben,2010
1007,ALTE LEIPZIGER LEBEN,1033122,25,Leben,2010
1035,ARAG LEBEN,334231,25,Leben,2010
1181,ASPECTA LEBEN,659836,50,Leben,2010
1303,ASSTEL LEBEN,338522,34,Leben,2010
1020,AXA LEBEN,1848546,65,Leben,2010
1011,BARMENIA LEBEN,241004,15,Leben,2010
1012,BASLER LEBEN,164233,9,Leben,2010
1013,BAYER. BEAMTEN LEBEN,330415,23,Leben,2010
1015,BAYERN-VERS.,1727515,41,Leben,2010
1122,CONCORDIA LEBEN,143664,4,Leben,2010
1021,CONDOR LEBEN,205358,7,Leben,2010
1078,CONTINENTALE LEBEN,643473,9,Leben,2010
1022,COSMOS LEBEN,1390939,23,Leben,2010
1146,DBV DEUTSCHE BEAMTEN,1986158,48,Leben,2010
1023,DEBEKA LEBEN,3328388,31,Leben,2010
1017,DELTA LLOYD LEBEN,558213,28,Leben,2010
1136,DEVK ALLG. LEBEN,714814,11,Leben,2010
1025,DEVK DT. EISENBAHN LV,744520,2,Leben,2010
1113,DIALOG LEBEN,249674,1,Leben,2010
1110,DIREKTE LEBEN,138411,4,Leben,2010
1148,DT. LEBENSVERS.,301939,6,Leben,2010
1028,DT. RING LEBEN,913278,41,Leben,2010
1180,DT. ÄRZTEVERSICHERUNG,196220,7,Leben,2010
1130,ERGO DIREKT LEBEN AG,1272350,27,Leben,2010
1184,ERGO LEBEN AG,5646866,155,Leben,2010
1107,EUROPA LEBEN,448840,4,Leben,2010
1310,FAMILIENFüRSORGE LV,279723,8,Leben,2010
1175,FAMILIENSCHUTZ LEBEN,115693,1,Leben,2010
1139,GENERALI LEBEN AG,5139468,145,Leben,2010
1108,GOTHAER LEBEN AG,1213040,66,Leben,2010
1040,HAMB. LEBEN,24959,1,Leben,2010
1312,HANNOVERSCHE LV AG,842231,36,Leben,2010
1114,HANSEMERKUR LEBEN,216681,8,Leben,2010
